RT @brianklaas: This is an under-appreciated reason why Trump’s “fake news” garbage is so dangerous: with Trump hoping to discredit all cre…,negative
"RT @PoliticalShort: Comey informed Trump on Jan. 6, 2017, about the dossier’s most salacious unproven charges &amp; presented the allegation to…",positive
RT @prodigis: all the people saying this sounds like trump are very excited to help launch trump's war https://t.co/IrzOHeE0IZ,positive
RT @EdwardTHardy: Donald Trump previously praised James Comey for his handling of the Hillary Clinton case https://t.co/2MM0mKvOxT,negative
"RT @TomthunkitsMind: Sean Hannity loses ratings war to Dr. Rachel Maddow again even after Trump begs for viewers. SAD.
https://t.co/ruxInax…",negative
RT @RonWyden: Mike Pompeo gave three different answers to the question: Did Trump ask you to get Comey to back off the Michael Flynn invest…,neutral
"@Evan_McMullin Unlikely?  No, it’s “unlikely” that the GOP will retain control of the House after the midterms. It’… https://t.co/NYslIvHx4X",negative
"RT @factcheckdotorg: President Trump tweets today that Comey ""leaked CLASSIFIED information."" There is no support for that claim, as we wro…",neutral
RT @jetrotter: 🔴 James Comey told Clinton Operative George Stephanopoulos that he 'doesn't know' if Trump had the right to know that Steele…,positive
"RT @LizCrokin: I did an update on:

-Backpage's takedown
-President Trump's law to combat sex trafficking
-MSM lies about sex trafficking &amp;…",neutral
Citi sees further boost from Trump tax cuts as earnings rise https://t.co/884aZBmG1N,neutral
RT @DrKlep: @AriFleischer @IngrahamAngle He didn't work for Trump; he worked for the American people.  Have you ever even taken a civics cl…,neutral
"RT @ChristopherNFox: With little notice, Trump ordered the EPA on Thursday to ""dramatically overhaul national clean air standards and make…",positive
"RT @joncoopertweets: Comey's rebuke of Trump cuts deep

The former FBI director does more than dish on Trump's behavior - his book offers a…",positive
"RT @JamilSmith: Trump has a way of martyring people. Had he fired Rosenstein a long time ago, when it could have actually made a difference…",negative
